date,USD,EUR,RUB
2014-08-26,13.6643980122,18.0197931993,0.3781638765
2014-08-27,13.8954969667,18.3303141788,0.3842515556
2014-08-28,13.4427971342,17.7138464820,0.3660821454
2014-08-29,13.6106996536,17.9000393094,0.3668156934
2014-08-30,13.6106975727,17.8742400525,0.3672166205
2014-08-31,13.6106975727,17.8778655339,0.3673394263
2014-09-01,13.1141404572,17.2192764086,0.3512473748
2014-09-02,13.0104977803,17.0738389446,0.3476932342
2014-09-03,12.5310081375,16.4611106832,0.3395077780
2014-09-04,12.5336999516,16.2011013441,0.3388827735
2014-09-05,12.8269996643,16.6207406619,0.3458870017
2014-09-06,12.8269986773,16.6146376142,0.3469921530
2014-09-07,12.8269986773,16.6127242573,0.3477399341
2014-09-08,12.8269996617,16.6058532923,0.3475531549
2014-09-09,12.9309982537,16.6973266960,0.3490880332
2014-09-10,12.9259996419,16.6847465177,0.3462926202
2014-09-11,12.9799994783,16.7930508892,0.3461610017
2014-09-12,12.9549973191,16.7839129477,0.3426992872
2014-09-13,12.9764995575,16.8220113527,0.3434435549
2014-09-14,12.9764995575,16.8252830567,0.3434879433
2014-09-15,12.9799967260,16.8081166082,0.3387267423
2014-09-16,12.9929999940,16.8577947676,0.3365727348
2014-09-17,13.0872923644,16.9581785577,0.3409073847
2014-09-18,13.4250001907,17.3367887244,0.3488187539
2014-09-19,13.4389990805,17.2500494571,0.3493612911
2014-09-20,13.4340000153,17.2344561028,0.3495751913
2014-09-21,13.4340000153,17.2344561028,0.3494855104
2014-09-22,13.4946972088,17.3085244996,0.3490181760
2014-09-23,13.5309977568,17.3980977393,0.3506780998
2014-09-24,13.5309977568,17.3047292273,0.3541290902
2014-09-25,13.5309977568,17.2443824262,0.3516826660
2014-09-26,13.5309977568,17.1646931013,0.3455383224
2014-09-27,13.5309977568,17.1612989331,0.3455981905
2014-09-28,13.5309977568,17.1631491899,0.3454463727
2014-09-29,13.5309977568,17.1900699141,0.3431066410
2014-09-30,12.9540003925,16.3526673881,0.3273131871
2014-10-01,12.9599994980,16.3537761887,0.3265647909
